Original Question,Rephrased Variants
Hello, I am Checker I want to help you with your health questions.
Hi, I am Checker I want to help you with your health questions. 
Good morning, I am Checker I want to help you with your health questions. 
Thank you, Thank you for using our chatbot
Bye, Thank your for using out chatbot
"I've had a persistent headache for three days, along with blurred vision. Should I be concerned?",What does it mean if I have a headache for several days and blurry vision?
Why do I feel dizzy with a headache that won't go away?,Persistent headaches with blurred vision could indicate migraines or other conditions. Seek medical attention if symptoms persist or worsen.
"I woke up with a sore throat, and it hurts when I swallow. I also have a fever. What could this be?",Is a sore throat with fever a sign of strep throat?
"Why does my throat hurt when swallowing, and I have a fever?","A sore throat with fever may indicate strep throat or the flu. Rest, hydrate, and consult a doctor if symptoms worsen or persist beyond 48 hours."
I've been experiencing stomach pain and nausea after eating certain foods. What could be the cause?,Why do I feel nauseous after meals?
What causes stomach pain after eating specific foods?,"This could be due to food intolerances, gastritis, or acid reflux. Keep a food diary to identify triggers and consult a doctor for further evaluation."
I have a rash that's itchy and red after using new laundry detergent. Is this an allergic reaction?,Could my detergent be causing my rash?
Why is my skin itchy after using new soap or detergent?,"This may be an allergic reaction to chemicals in the detergent. Stop using it, apply anti-itch cream, and see a dermatologist if symptoms persist."
"I've been feeling extremely tired and have no energy, even after getting enough sleep.",Why am I so fatigued despite sleeping well?
What could cause chronic tiredness and low energy levels?,"Chronic fatigue can result from stress, anemia, thyroid issues, or sleep disorders. Consult your doctor for blood tests and further investigation."
"What are the early signs and symptoms of diabetes, and who is most at risk?",How can I tell if I might have diabetes?
What are common warning signs of diabetes?,"Early signs include increased thirst, frequent urination, fatigue, blurred vision, and slow-healing wounds. Risk factors include obesity and family history of diabetes."
How can I improve my sleep habits and get more restful sleep?,What are tips for better sleep quality?
How do I fix bad sleeping patterns?,"Stick to a consistent sleep schedule, avoid caffeine before bed, create a relaxing bedtime routine, and limit screen time in the evening."
What are the best exercises for improving cardiovascular health?,How can I keep my heart healthy through exercise?
What types of workouts benefit heart health the most?,"Aerobic exercises like walking, running, swimming, or cycling are excellent for heart health. Aim for at least 150 minutes of moderate exercise per week."
What are some effective ways to manage stress and anxiety?,How can I reduce stress in my daily life?
